                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77365,                0.96623,                      1,                0.82178,             0.00023659,             0.00023659,             0.00023659
                      2,                0.22681,                0.96623,                      1,                0.79133,             0.00044327,             0.00044327,             0.00044327
                      3,                0.17558,                0.97403,                      1,                0.77615,             0.00061853,             0.00061853,             0.00061853
                      4,                0.16126,                0.98182,                      1,                0.77731,             0.00057263,             0.00057263,             0.00057263
                      5,                0.12727,                0.97922,                      1,                0.78385,              0.0005255,              0.0005255,              0.0005255
                      6,                0.10319,                0.96623,                      1,                0.77431,             0.00047838,             0.00047838,             0.00047838
                      7,                0.11469,                0.97922,                      1,                0.77109,             0.00043126,             0.00043126,             0.00043126
                      8,                0.09694,                0.99481,                      1,                0.76478,             0.00038413,             0.00038413,             0.00038413
                      9,                0.08223,                0.98701,                      1,                0.76868,             0.00033701,             0.00033701,             0.00033701
                     10,                0.08178,                0.97922,                      1,                0.76281,             0.00028988,             0.00028988,             0.00028988
                     11,                0.07476,                0.98182,                      1,                0.76611,             0.00024276,             0.00024276,             0.00024276
                     12,                0.07045,                0.98442,                      1,                0.76386,             0.00019564,             0.00019564,             0.00019564
                     13,                0.06576,                0.98701,                      1,                0.76073,             0.00014851,             0.00014851,             0.00014851
                     14,                0.06056,                0.98701,                      1,                0.76235,             0.00010139,             0.00010139,             0.00010139
                     15,                0.05669,                0.98961,                      1,                0.76104,             5.4264e-05,             5.4264e-05,             5.4264e-05
